mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,symmetric,1.0,1.0,entropy,top50,4,20,20,6,48,12,0.142378,85.00,0.672167,6.716219,15.174126,36.137958,0.0469,0.5625
both,symmetric,1.0,1.0,entropy,top50,4,20,20,7,49,12,0.315692,85.00,0.647961,5.859832,6.508732,42.814259,0.0508,0.6094
both,symmetric,1.0,1.0,entropy,top50,4,20,20,8,50,19,0.250487,90.00,0.962673,7.562380,4.671216,42.519956,0.0428,0.8125
both,symmetric,1.0,1.0,entropy,top50,4,20,20,9,51,22,0.693339,95.00,0.711091,12.251279,1.839296,44.429183,0.0554,1.2188
both,symmetric,1.0,1.0,entropy,top50,8,40,20,0,42,28,0.282167,95.00,0.785471,9.473474,4.025065,44.349296,0.0658,1.8438
both,symmetric,1.0,1.0,entropy,top50,8,40,20,1,43,18,0.277963,90.00,0.713912,7.344683,8.669350,42.610836,0.0694,1.2500
both,symmetric,1.0,1.0,entropy,top50,8,40,20,2,44,39,1.447565,95.00,1.224084,9.588436,0.454434,42.416961,0.0661,2.5781
both,symmetric,1.0,1.0,entropy,top50,8,40,20,3,45,18,0.781201,95.00,0.539352,9.092452,4.384484,41.544293,0.0512,0.9219
both,symmetric,1.0,1.0,entropy,top50,8,40,20,4,46,38,0.756791,95.00,0.998953,9.691720,0.762883,44.185148,0.0567,2.1562
both,symmetric,1.0,1.0,entropy,top50,8,40,20,5,47,22,0.535876,95.00,0.859383,4.371260,7.686156,40.613397,0.0511,1.1250
both,symmetric,1.0,1.0,entropy,top50,8,40,20,6,48,18,0.368615,95.00,0.695648,6.569163,13.099397,36.369785,0.0556,1.0000
both,symmetric,1.0,1.0,entropy,top50,8,40,20,7,49,15,0.293984,95.00,1.124779,6.803757,9.855827,39.188014,0.0521,0.7812
both,symmetric,1.0,1.0,entropy,top50,8,40,20,8,50,55,1.252944,95.00,1.491944,17.052970,0.961562,44.444437,0.0594,3.2656
both,symmetric,1.0,1.0,entropy,top50,8,40,20,9,51,17,6.430104,90.00,0.873621,15.086497,2.197787,39.420237,0.0699,1.1875
