mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,total_rules,rep,seed,stop_generation,best_fitness,best_accuracy,best_mse_chance,best_mse_utility,best_entropy_norm,best_util_dev,cpu_per_gen,cpu_total
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,3,45,6,0.420000,95.00,0.658038,6.651750,12.312921,43.349139,0.0443,0.2656
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,4,46,4,0.700000,85.00,0.556097,5.864900,11.598918,43.759729,0.0430,0.1719
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,5,47,5,0.680000,85.00,0.533729,3.632942,11.234408,43.863169,0.0375,0.1875
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,6,48,4,0.560000,75.00,0.551553,6.052417,11.067252,42.534839,0.0391,0.1562
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,7,49,5,0.560000,85.00,0.459282,2.806053,11.285373,44.006672,0.0406,0.2031
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,8,50,3,0.640000,95.00,0.508705,7.264934,11.135957,44.115317,0.0417,0.1250
both,non_symmetric,1.0,1.0,binary,top50,2,10,20,9,51,6,0.620000,75.00,0.528369,5.482839,11.359233,44.299048,0.0417,0.2500
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,0,42,12,0.480000,85.00,0.553777,11.165657,12.691859,44.126450,0.0378,0.4531
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,1,43,9,0.600000,90.00,0.840081,10.146333,12.083839,43.798087,0.0399,0.3594
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,2,44,11,0.600000,95.00,0.590809,8.123042,13.416944,42.397772,0.0384,0.4219
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,3,45,9,0.580000,85.00,0.440725,3.720037,12.565139,42.279105,0.0417,0.3750
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,4,46,6,0.620000,95.00,0.572715,7.870773,11.531241,43.772567,0.0417,0.2500
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,5,47,8,0.540000,85.00,0.780145,6.848701,10.450561,43.752184,0.0410,0.3281
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,6,48,7,0.400000,95.00,0.883470,6.740488,11.929266,44.188009,0.0379,0.2656
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,7,49,6,0.540000,80.00,0.480863,8.558186,11.044402,41.607646,0.0391,0.2344
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,8,50,14,0.420000,90.00,0.757373,6.595839,12.114227,40.823010,0.0379,0.5312
both,non_symmetric,1.0,1.0,binary,top50,4,20,20,9,51,10,0.600000,85.00,0.450850,11.129190,12.645118,43.226552,0.0422,0.4219
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,0,42,12,0.520000,95.00,0.657361,6.287075,13.927848,43.112427,0.0443,0.5312
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,1,43,16,0.660000,95.00,1.425718,10.571698,12.843755,42.860147,0.0420,0.6719
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,2,44,13,0.660000,95.00,0.533590,2.181314,11.985178,41.883698,0.0421,0.5469
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,3,45,10,0.640000,95.00,0.692347,5.023048,12.037888,41.222864,0.0391,0.3906
both,non_symmetric,1.0,1.0,binary,top50,8,40,20,4,46,10,0.580000,95.00,0.452224,7.785552,11.278639,43.886926,0.0391,0.3906
