network,optimizer,fitness_type,chance_temperature,utility_temperature,pct,n_decision_rules,total_rules,rep,seed,acc_best,acc_mean,acc_worst,sat_acc_mean,n_satisfiers,stop_generation,cpu_total
bypass,umda,regret,2.0,2.0,10,2,20,0,42,50.0,37.8,25.0,37.8,50,50,2.765625
bypass,umda,regret,2.0,2.0,10,2,20,1,43,75.0,56.4,35.0,56.4,50,50,2.859375
bypass,umda,regret,2.0,2.0,10,2,20,2,44,85.0,72.3,55.00000000000001,72.3,50,50,2.5625
bypass,umda,regret,2.0,2.0,10,2,20,3,45,65.0,47.7,30.0,47.7,50,50,2.578125
bypass,umda,regret,2.0,2.0,10,2,20,4,46,95.0,74.7,55.00000000000001,74.7,50,50,3.078125
bypass,umda,entropy,0.5,0.5,10,2,20,0,42,75.0,60.5,45.0,,0,50,2.75
bypass,umda,entropy,0.5,0.5,10,2,20,1,43,85.0,55.6,35.0,,0,50,2.765625
bypass,umda,entropy,0.5,0.5,10,2,20,2,44,75.0,50.8,25.0,,0,50,2.9375
bypass,umda,entropy,0.5,0.5,10,2,20,3,45,95.0,81.2,65.0,,0,50,3.125
bypass,umda,entropy,0.5,0.5,10,2,20,4,46,85.0,82.6,75.0,,0,50,2.78125
bypass,umda,entropy,0.5,1.0,10,2,20,0,42,75.0,53.8,35.0,,0,50,2.8125
bypass,umda,entropy,0.5,1.0,10,2,20,1,43,85.0,67.5,45.0,,0,50,3.234375
bypass,umda,entropy,0.5,1.0,10,2,20,2,44,85.0,74.0,55.00000000000001,,0,50,3.6875
bypass,umda,entropy,0.5,1.0,10,2,20,3,45,85.0,77.2,65.0,,0,50,2.8125
bypass,umda,entropy,0.5,1.0,10,2,20,4,46,85.0,74.0,65.0,,0,50,2.578125
bypass,umda,entropy,0.5,2.0,10,2,20,0,42,65.0,45.6,25.0,,0,50,3.109375
bypass,umda,entropy,0.5,2.0,10,2,20,1,43,85.0,67.9,45.0,,0,50,2.703125
bypass,umda,entropy,0.5,2.0,10,2,20,2,44,90.0,78.4,75.0,,0,50,2.59375
bypass,umda,entropy,0.5,2.0,10,2,20,3,45,55.00000000000001,39.4,25.0,,0,50,2.90625
bypass,umda,entropy,0.5,2.0,10,2,20,4,46,85.0,71.2,55.00000000000001,,0,50,4.234375
bypass,umda,entropy,1.0,0.5,10,2,20,0,42,75.0,58.2,45.0,,0,50,2.890625
bypass,umda,entropy,1.0,0.5,10,2,20,1,43,75.0,55.4,25.0,,0,50,3.71875
bypass,umda,entropy,1.0,0.5,10,2,20,2,44,75.0,61.1,45.0,,0,50,2.96875
bypass,umda,entropy,1.0,0.5,10,2,20,3,45,85.0,71.8,45.0,,0,50,2.578125
bypass,umda,entropy,1.0,0.5,10,2,20,4,46,95.0,78.2,65.0,,0,50,2.859375
bypass,umda,entropy,1.0,1.0,10,2,20,0,42,65.0,46.5,25.0,,0,50,2.703125
bypass,umda,entropy,1.0,1.0,10,2,20,1,43,75.0,63.4,45.0,,0,50,2.515625
bypass,umda,entropy,1.0,1.0,10,2,20,2,44,85.0,74.7,65.0,,0,50,2.671875
bypass,umda,entropy,1.0,1.0,10,2,20,3,45,85.0,62.6,35.0,,0,50,2.578125
bypass,umda,entropy,1.0,1.0,10,2,20,4,46,85.0,75.8,65.0,,0,50,2.5625
bypass,umda,entropy,1.0,2.0,10,2,20,0,42,55.00000000000001,39.6,30.0,,0,50,2.53125
bypass,umda,entropy,1.0,2.0,10,2,20,1,43,75.0,54.1,35.0,,0,50,2.578125
bypass,umda,entropy,1.0,2.0,10,2,20,2,44,85.0,78.1,65.0,,0,50,3.34375
bypass,umda,entropy,1.0,2.0,10,2,20,3,45,85.0,66.7,45.0,,0,50,3.34375
bypass,umda,entropy,1.0,2.0,10,2,20,4,46,85.0,67.3,45.0,,0,50,6.453125
bypass,umda,entropy,2.0,0.5,10,2,20,0,42,75.0,61.6,55.00000000000001,,0,50,3.5
bypass,umda,entropy,2.0,0.5,10,2,20,1,43,75.0,66.6,55.00000000000001,,0,50,2.921875
bypass,umda,entropy,2.0,0.5,10,2,20,2,44,75.0,62.9,55.00000000000001,,0,50,3.140625
bypass,umda,entropy,2.0,0.5,10,2,20,3,45,65.0,55.8,35.0,,0,50,2.953125
bypass,umda,entropy,2.0,0.5,10,2,20,4,46,95.0,71.3,50.0,,0,50,3.140625
bypass,umda,entropy,2.0,1.0,10,2,20,0,42,65.0,58.4,45.0,,0,50,3.0625
bypass,umda,entropy,2.0,1.0,10,2,20,1,43,85.0,71.4,55.00000000000001,,0,50,3.078125
bypass,umda,entropy,2.0,1.0,10,2,20,2,44,65.0,49.2,35.0,,0,50,2.765625
bypass,umda,entropy,2.0,1.0,10,2,20,3,45,95.0,82.8,65.0,,0,50,2.84375
bypass,umda,entropy,2.0,1.0,10,2,20,4,46,95.0,85.2,70.0,,0,50,3.03125
bypass,umda,entropy,2.0,2.0,10,2,20,0,42,75.0,61.8,45.0,,0,50,2.875
bypass,umda,entropy,2.0,2.0,10,2,20,1,43,85.0,68.7,45.0,,0,50,2.8125
bypass,umda,entropy,2.0,2.0,10,2,20,2,44,85.0,71.5,55.00000000000001,,0,50,2.859375
bypass,umda,entropy,2.0,2.0,10,2,20,3,45,85.0,67.6,45.0,,0,50,2.9375
bypass,umda,entropy,2.0,2.0,10,2,20,4,46,95.0,83.4,65.0,,0,50,2.765625
bypass,emna,binary,0.5,0.5,10,2,20,0,42,75.0,49.9,25.0,50.63829787234042,47,50,2.765625
bypass,emna,binary,0.5,0.5,10,2,20,1,43,95.0,65.9,35.0,65.91836734693878,49,50,2.953125
bypass,emna,binary,0.5,0.5,10,2,20,2,44,85.0,66.3,45.0,67.17391304347827,46,52,2.90625
bypass,emna,binary,0.5,0.5,10,2,20,3,45,85.0,76.0,55.00000000000001,75.81632653061224,49,57,3.203125
bypass,emna,binary,0.5,0.5,10,2,20,4,46,95.0,76.7,45.0,76.7,50,50,2.765625
bypass,emna,binary,0.5,1.0,10,2,20,0,42,85.0,61.8,35.0,62.083333333333336,48,50,2.6875
bypass,emna,binary,0.5,1.0,10,2,20,1,43,85.0,63.0,25.0,63.36734693877551,49,50,2.625
bypass,emna,binary,0.5,1.0,10,2,20,2,44,95.0,78.7,50.0,80.11111111111111,45,51,2.734375
bypass,emna,binary,0.5,1.0,10,2,20,3,45,100.0,64.2,35.0,64.89583333333333,48,51,3.0
bypass,emna,binary,0.5,1.0,10,2,20,4,46,95.0,63.9,35.0,65.11111111111111,45,51,2.78125
bypass,emna,binary,0.5,2.0,10,2,20,0,42,95.0,65.8,35.0,67.22222222222223,45,50,2.734375
