network,optimizer,pct,stop_mode,rep,seed,acc
bypass,egna,10,top90,1,43,80.0
bypass,egna,10,top90,1,43,80.0
bypass,egna,10,top90,1,43,70.0
bypass,egna,10,top90,1,43,55.00000000000001
bypass,egna,10,top90,1,43,55.00000000000001
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,65.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,55.00000000000001
bypass,egna,10,top90,1,43,55.00000000000001
bypass,egna,10,top90,1,43,65.0
bypass,egna,10,top90,1,43,80.0
bypass,egna,10,top90,1,43,55.00000000000001
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,65.0
bypass,egna,10,top90,1,43,55.00000000000001
bypass,egna,10,top90,1,43,65.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,65.0
bypass,egna,10,top90,1,43,65.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,75.0
bypass,egna,10,top90,1,43,65.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,75.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,75.0
bypass,egna,10,top90,2,44,75.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,65.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,75.0
bypass,egna,10,top90,2,44,65.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,75.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,75.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,65.0
bypass,egna,10,top90,2,44,55.00000000000001
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,75.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,85.0
bypass,egna,10,top90,2,44,75.0
bypass,egna,10,top90,3,45,50.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,55.00000000000001
bypass,egna,10,top90,3,45,85.0
bypass,egna,10,top90,3,45,70.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,55.00000000000001
bypass,egna,10,top90,3,45,65.0
bypass,egna,10,top90,3,45,65.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,85.0
bypass,egna,10,top90,3,45,85.0
bypass,egna,10,top90,3,45,65.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,55.00000000000001
bypass,egna,10,top90,3,45,60.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,65.0
bypass,egna,10,top90,3,45,65.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,65.0
bypass,egna,10,top90,3,45,65.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,65.0
bypass,egna,10,top90,3,45,45.0
bypass,egna,10,top90,3,45,45.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,55.00000000000001
bypass,egna,10,top90,3,45,75.0
bypass,egna,10,top90,3,45,55.00000000000001
bypass,egna,10,top90,3,45,65.0
