net,optimizer,fitness_type,rules_pct,n_train_rules,noise,n_noisy_rules,n_correct_rules,rep,seed,size_gen,total_rules,stop_generation,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_total
bypass2,emna,regret,20,4,0.5,2,2,4,46,50,20,8,75.0,52.0,0.8160182425131759,4.139111933638925,0.59375
bypass2,emna,regret,20,4,0.5,2,2,5,47,50,20,40,100.0,74.1,1.1093474278426267,21.78290178446231,2.984375
bypass2,emna,regret,20,4,0.5,2,2,6,48,50,20,7,85.0,55.0,0.5770847621573958,1.8965138458733597,0.5
bypass2,emna,regret,20,4,0.5,2,2,7,49,50,20,32,75.0,50.0,0.9884973362489643,12.758171404717523,2.0625
bypass2,emna,regret,20,4,0.5,2,2,8,50,50,20,16,85.0,58.6,0.9861929733606634,18.526690909947902,1.125
bypass2,emna,regret,20,4,0.5,2,2,9,51,50,20,25,85.0,56.4,1.5169422894490112,29.78653258516789,1.671875
bypass2,emna,regret,40,8,0.0,0,8,0,42,50,20,21,100.0,75.8,0.9661053281096338,29.667635819086797,1.40625
bypass2,emna,regret,40,8,0.0,0,8,1,43,50,20,35,95.0,75.4,1.4118817964843327,9.986074176039867,2.546875
bypass2,emna,regret,40,8,0.0,0,8,2,44,50,20,15,95.0,70.0,1.0436500785901464,23.736489137424837,1.234375
bypass2,emna,regret,40,8,0.0,0,8,3,45,50,20,18,95.0,75.0,1.8012383030875223,9.504097106352914,1.1875
bypass2,emna,regret,40,8,0.0,0,8,4,46,50,20,10,95.0,74.3,0.7501855332434733,5.551492976518494,0.640625
bypass2,emna,regret,40,8,0.0,0,8,5,47,50,20,19,95.0,77.9,0.7654877654507826,13.501931667233356,1.265625
bypass2,emna,regret,40,8,0.0,0,8,6,48,50,20,21,95.0,80.4,0.8760400673116163,16.806823152727418,1.421875
bypass2,emna,regret,40,8,0.0,0,8,7,49,50,20,14,95.0,78.7,1.0063957164797002,20.368219039924682,1.0
bypass2,emna,regret,40,8,0.0,0,8,8,50,50,20,24,100.0,75.5,1.081318955766438,22.315457078148505,1.625
bypass2,emna,regret,40,8,0.0,0,8,9,51,50,20,25,100.0,98.1,1.3152618073661158,34.98783251177062,1.65625
bypass2,emna,regret,40,8,0.25,2,6,0,42,50,20,34,100.0,79.7,1.0287389762697174,30.352174560441394,2.46875
bypass2,emna,regret,40,8,0.25,2,6,1,43,50,20,24,100.0,84.5,1.0734677522880198,22.633615970918925,1.578125
bypass2,emna,regret,40,8,0.25,2,6,2,44,50,20,22,100.0,94.8,1.3442631356318884,32.86158369962707,1.5625
bypass2,emna,regret,40,8,0.25,2,6,3,45,50,20,31,85.0,77.3,0.7458969327689993,5.135760238477887,2.03125
bypass2,emna,regret,40,8,0.25,2,6,4,46,50,20,30,85.0,63.4,1.027696070350085,4.375370956769076,2.0
bypass2,emna,regret,40,8,0.25,2,6,5,47,50,20,27,100.0,84.3,1.1747275657796745,24.45599192775041,1.796875
bypass2,emna,regret,40,8,0.25,2,6,6,48,50,20,23,100.0,85.8,1.339413053131285,34.80022100946523,1.828125
bypass2,emna,regret,40,8,0.25,2,6,7,49,50,20,27,85.0,69.8,1.1424808936297668,29.007369726169525,1.90625
bypass2,emna,regret,40,8,0.25,2,6,8,50,50,20,26,100.0,73.7,1.9611208872498862,7.150093019870348,1.734375
bypass2,emna,regret,40,8,0.25,2,6,9,51,50,20,21,95.0,71.9,1.0057642362536987,22.766409676188864,1.390625
bypass2,emna,regret,40,8,0.5,4,4,0,42,50,20,24,100.0,60.5,2.0239297966551466,10.871618295281953,1.78125
bypass2,emna,regret,40,8,0.5,4,4,1,43,50,20,22,100.0,83.6,1.2841791470723893,29.94024014198657,1.484375
bypass2,emna,regret,40,8,0.5,4,4,2,44,50,20,34,100.0,93.1,1.4907725697866177,34.77723822070342,2.4375
bypass2,emna,regret,40,8,0.5,4,4,3,45,50,20,35,100.0,90.8,1.2357297874450215,34.942591011334116,2.828125
bypass2,emna,regret,40,8,0.5,4,4,4,46,50,20,42,100.0,77.8,1.0031179875314842,6.897281911913958,3.140625
bypass2,emna,regret,40,8,0.5,4,4,5,47,50,20,26,95.0,80.5,1.330319862175104,34.5010414377452,2.359375
bypass2,emna,regret,40,8,0.5,4,4,6,48,50,20,26,100.0,82.2,1.352497064025046,34.92367193439944,2.015625
bypass2,emna,regret,40,8,0.5,4,4,7,49,50,20,25,80.0,56.3,1.3535164569913283,24.023900907443824,1.875
bypass2,emna,regret,40,8,0.5,4,4,8,50,50,20,18,85.0,53.1,1.5248395198982188,6.754466773151296,1.515625
bypass2,emna,regret,40,8,0.5,4,4,9,51,50,20,16,100.0,59.5,0.8432253221972847,18.728103868862046,1.234375
bypass2,emna,regret,60,12,0.0,0,12,0,42,50,20,22,100.0,89.3,1.25619241536998,34.8151003407971,1.671875
bypass2,emna,regret,60,12,0.0,0,12,1,43,50,20,26,100.0,97.8,1.2247176324094124,34.824237406709,1.953125
bypass2,emna,regret,60,12,0.0,0,12,2,44,50,20,26,100.0,94.3,1.1763069065807354,30.83946332913927,1.984375
bypass2,emna,regret,60,12,0.0,0,12,3,45,50,20,14,95.0,74.5,1.2322330686614626,3.740843582201834,1.046875
bypass2,emna,regret,60,12,0.0,0,12,4,46,50,20,39,95.0,82.3,1.1397479369964656,14.204931665939228,2.96875
bypass2,emna,regret,60,12,0.0,0,12,5,47,50,20,23,95.0,80.4,0.6882157936560863,22.806205762654443,1.84375
bypass2,emna,regret,60,12,0.0,0,12,6,48,50,20,18,100.0,81.7,0.6599063258249551,4.511633154361471,1.40625
bypass2,emna,regret,60,12,0.0,0,12,7,49,50,20,30,95.0,88.1,1.190344557137889,32.769333117610806,2.359375
bypass2,emna,regret,60,12,0.0,0,12,8,50,50,20,31,100.0,94.2,1.2808878401848305,34.975885418847994,2.3125
bypass2,emna,regret,60,12,0.0,0,12,9,51,50,20,22,100.0,93.6,1.2453736425003208,34.564547286325585,1.75
bypass2,emna,regret,60,12,0.25,3,9,0,42,50,20,45,90.0,77.4,1.7082761676266913,10.92490264202359,3.46875
bypass2,emna,regret,60,12,0.25,3,9,1,43,50,20,19,100.0,92.9,1.3569371318492585,34.97493042015588,1.4375
bypass2,emna,regret,60,12,0.25,3,9,2,44,50,20,26,100.0,96.5,1.2854873822080402,34.42273362795244,2.171875
bypass2,emna,regret,60,12,0.25,3,9,3,45,50,20,20,85.0,64.5,1.2875543050836018,9.817895645236089,1.53125
bypass2,emna,regret,60,12,0.25,3,9,4,46,50,20,35,100.0,97.1,2.2741633003384565,10.384054932750804,2.609375
bypass2,emna,regret,60,12,0.25,3,9,5,47,50,20,27,75.0,65.2,2.187073449820221,9.480760194006047,1.984375
bypass2,emna,regret,60,12,0.25,3,9,6,48,50,20,31,95.0,91.2,1.3504482270192335,34.95359360005145,2.375
bypass2,emna,regret,60,12,0.25,3,9,7,49,50,20,30,100.0,92.0,1.2889749995728952,34.89141367873729,2.3125
bypass2,emna,regret,60,12,0.25,3,9,8,50,50,20,32,100.0,97.9,1.1952416671539021,34.05329440801327,2.375
bypass2,emna,regret,60,12,0.25,3,9,9,51,50,20,19,100.0,89.6,1.3209846057140102,31.76287875164384,1.46875
bypass2,emna,regret,60,12,0.5,6,6,0,42,50,20,32,100.0,96.9,1.4167612271166292,34.80555947722776,2.453125
bypass2,emna,regret,60,12,0.5,6,6,1,43,50,20,15,100.0,65.0,1.298044434869215,32.803991067306235,1.265625
bypass2,emna,regret,60,12,0.5,6,6,2,44,50,20,18,100.0,89.5,1.2584591432576657,32.61583118539093,1.390625
bypass2,emna,regret,60,12,0.5,6,6,3,45,50,20,27,100.0,83.9,2.2678578453416725,9.317989377082696,2.25
bypass2,emna,regret,60,12,0.5,6,6,4,46,50,20,58,75.0,58.3,1.099946473340904,18.44671963945369,5.84375
bypass2,emna,regret,60,12,0.5,6,6,5,47,50,20,22,100.0,85.2,1.1630321879544538,31.846037936146118,1.75
bypass2,emna,regret,60,12,0.5,6,6,6,48,50,20,21,100.0,93.0,1.334678352521437,34.97546042799591,2.28125
bypass2,emna,regret,60,12,0.5,6,6,7,49,50,20,42,100.0,98.3,1.2821133487178011,34.82478803489135,6.46875
bypass2,emna,regret,60,12,0.5,6,6,8,50,50,20,29,100.0,97.8,1.784095549176213,10.975506374558178,3.453125
bypass2,emna,regret,60,12,0.5,6,6,9,51,50,20,27,100.0,96.1,1.1225599660419898,30.367268353445112,2.5
bypass2,egna,regret,20,4,0.0,0,4,0,42,50,20,12,85.0,56.2,0.9816849466573826,8.82358677041246,7.3125
bypass2,egna,regret,20,4,0.0,0,4,1,43,50,20,11,85.0,66.8,1.0373372321452459,9.971655510806459,6.0
bypass2,egna,regret,20,4,0.0,0,4,2,44,50,20,7,85.0,58.7,1.0976789257515054,5.537383511761209,4.34375
bypass2,egna,regret,20,4,0.0,0,4,3,45,50,20,6,85.0,58.9,0.6699127140628985,11.128247133406125,3.453125
bypass2,egna,regret,20,4,0.0,0,4,4,46,50,20,10,100.0,68.7,0.7924694396241203,6.332641033666808,5.75
bypass2,egna,regret,20,4,0.0,0,4,5,47,50,20,9,85.0,64.4,0.8554592517044362,13.70195251636,4.96875
bypass2,egna,regret,20,4,0.0,0,4,6,48,50,20,9,85.0,70.3,1.0344776241403633,11.552412138328233,5.203125
bypass2,egna,regret,20,4,0.0,0,4,7,49,50,20,5,85.0,58.0,0.7724551548979608,10.517558205453046,3.15625
bypass2,egna,regret,20,4,0.0,0,4,8,50,50,20,5,85.0,54.8,1.0606097906352352,9.21889320236311,2.859375
bypass2,egna,regret,20,4,0.0,0,4,9,51,50,20,11,95.0,65.7,1.1658138432548075,6.225634422111458,5.5
bypass2,egna,regret,20,4,0.25,1,3,0,42,50,20,13,95.0,75.3,1.1619587078945532,8.413192878143045,11.859375
