net,optimizer,fitness_type,noise,rep,seed,size_gen,n_noisy_rules,total_rules,stop_generation,best_accuracy,mean_accuracy,mse_chance,mse_utility,cpu_total
bypass2,umda,binary,0.5,8,50,50,10,20,60,55.00000000000001,48.0,0.9666692015905819,19.277504487468807,6.53125
bypass2,umda,binary,0.5,9,51,50,10,20,60,65.0,57.9,0.8126480365933904,18.657221635683424,6.5
bypass2,emna,regret,0.0,0,42,50,0,20,47,100.0,96.3,1.3167939116316056,34.76462531340248,5.09375
bypass2,emna,regret,0.0,1,43,50,0,20,24,100.0,98.4,1.4032658709582508,34.97164443857944,2.609375
bypass2,emna,regret,0.0,2,44,50,0,20,60,100.0,98.4,1.3507093722607317,34.863694134043705,6.109375
bypass2,emna,regret,0.0,3,45,50,0,20,28,100.0,99.4,2.3184049824785724,10.97218096903547,2.96875
bypass2,emna,regret,0.0,4,46,50,0,20,43,100.0,99.3,2.424916118004922,9.529926474712035,4.4375
bypass2,emna,regret,0.0,5,47,50,0,20,33,100.0,99.4,1.2229398531297258,34.86004721105606,3.265625
bypass2,emna,regret,0.0,6,48,50,0,20,38,100.0,98.1,1.3278428506108817,34.969480979253376,3.6875
bypass2,emna,regret,0.0,7,49,50,0,20,48,100.0,98.8,1.3030464405545696,34.98728536038629,5.25
bypass2,emna,regret,0.0,8,50,50,0,20,28,100.0,97.8,1.04263151345937,34.98595327166235,2.921875
bypass2,emna,regret,0.0,9,51,50,0,20,37,100.0,97.7,2.2599040864355993,10.976247228234321,3.984375
bypass2,emna,regret,0.1,0,42,50,2,20,35,100.0,96.3,1.2740955212620995,34.67150886620126,3.734375
bypass2,emna,regret,0.1,1,43,50,2,20,28,100.0,98.7,1.4636253200044074,32.195556818055984,2.875
bypass2,emna,regret,0.1,2,44,50,2,20,36,100.0,99.8,1.3413529593063753,33.69162395964679,3.78125
bypass2,emna,regret,0.1,3,45,50,2,20,42,100.0,100.0,1.5357799547831843,34.989777898420485,4.28125
bypass2,emna,regret,0.1,4,46,50,2,20,49,100.0,94.7,1.342298197436227,15.39038827055754,5.171875
bypass2,emna,regret,0.1,5,47,50,2,20,48,100.0,99.0,1.2788117286885794,34.98972972371966,5.140625
bypass2,emna,regret,0.1,6,48,50,2,20,35,100.0,98.0,1.3040876300996675,34.944616944850964,3.515625
bypass2,emna,regret,0.1,7,49,50,2,20,47,100.0,97.7,1.3990796773266576,34.89866064071483,4.96875
bypass2,emna,regret,0.1,8,50,50,2,20,32,100.0,96.7,1.97736099840203,10.294111278441967,3.375
bypass2,emna,regret,0.1,9,51,50,2,20,20,100.0,96.7,1.1585541720330483,30.376286001225967,2.046875
bypass2,emna,regret,0.2,0,42,50,4,20,40,100.0,99.1,1.3298063334351615,34.98935915670589,4.21875
bypass2,emna,regret,0.2,1,43,50,4,20,24,100.0,98.8,1.3072970701255409,34.985814685297775,2.5
bypass2,emna,regret,0.2,2,44,50,4,20,29,100.0,99.9,1.2877290421495433,34.98880740224471,2.984375
bypass2,emna,regret,0.2,3,45,50,4,20,31,95.0,89.4,1.7016340243746677,8.233592719255816,3.5
bypass2,emna,regret,0.2,4,46,50,4,20,60,100.0,98.0,1.4392536435579517,34.99122600958413,6.25
bypass2,emna,regret,0.2,5,47,50,4,20,42,100.0,98.6,1.2886295075600829,34.984255935588926,4.4375
bypass2,emna,regret,0.2,6,48,50,4,20,26,100.0,97.7,1.2878151842790766,34.97592119780699,2.625
bypass2,emna,regret,0.2,7,49,50,4,20,33,100.0,95.7,1.3767138740680134,34.3455665958564,3.4375
bypass2,emna,regret,0.2,8,50,50,4,20,24,100.0,99.9,2.4265043470740855,10.968004526282012,2.46875
bypass2,emna,regret,0.2,9,51,50,4,20,44,100.0,94.3,2.4041925970825724,10.9577954184977,4.6875
bypass2,emna,regret,0.3,0,42,50,6,20,33,100.0,97.4,1.382795746906352,34.568015934807256,3.546875
bypass2,emna,regret,0.3,1,43,50,6,20,30,100.0,99.6,1.2215390570246805,34.988938269362755,3.140625
bypass2,emna,regret,0.3,2,44,50,6,20,24,100.0,97.4,1.381141876111525,30.453554666972693,2.546875
bypass2,emna,regret,0.3,3,45,50,6,20,60,95.0,69.8,0.9428333987681505,8.048946470313552,6.34375
bypass2,emna,regret,0.3,4,46,50,6,20,36,100.0,88.0,1.9532001635222442,10.023850562657353,3.84375
bypass2,emna,regret,0.3,5,47,50,6,20,60,100.0,75.3,1.9328753009298802,6.738961203600659,6.421875
bypass2,emna,regret,0.3,6,48,50,6,20,60,95.0,67.8,1.0695237869522796,11.911308138259773,6.171875
bypass2,emna,regret,0.3,7,49,50,6,20,35,100.0,97.5,1.2870600800239473,34.94385380685084,3.484375
bypass2,emna,regret,0.3,8,50,50,6,20,60,85.0,75.6,1.0422378924420554,5.615866106507752,6.328125
bypass2,emna,regret,0.3,9,51,50,6,20,24,100.0,98.9,1.2142105709605322,34.986366699853825,2.421875
bypass2,emna,regret,0.4,0,42,50,8,20,55,100.0,91.0,1.995667470596777,10.984931108904142,5.875
bypass2,emna,regret,0.4,1,43,50,8,20,24,100.0,97.1,1.24837735599582,34.97840559031144,2.484375
bypass2,emna,regret,0.4,2,44,50,8,20,26,100.0,88.9,1.1778945324588266,34.98838708394423,2.71875
bypass2,emna,regret,0.4,3,45,50,8,20,29,100.0,93.9,1.2837941411471947,33.38730967719562,3.078125
bypass2,emna,regret,0.4,4,46,50,8,20,42,100.0,91.4,1.0426912566149673,9.964077788363277,4.453125
bypass2,emna,regret,0.4,5,47,50,8,20,56,100.0,97.7,1.2388241216895892,34.98960103797768,6.171875
bypass2,emna,regret,0.4,6,48,50,8,20,40,100.0,97.8,1.2926808283728737,34.989471578999165,4.1875
bypass2,emna,regret,0.4,7,49,50,8,20,31,100.0,100.0,1.4095507316053046,34.95232353676888,3.265625
bypass2,emna,regret,0.4,8,50,50,8,20,47,95.0,82.9,1.9122718929834297,9.963200947193311,4.90625
bypass2,emna,regret,0.4,9,51,50,8,20,24,100.0,100.0,1.302903670587106,34.98798070032305,2.203125
bypass2,emna,regret,0.5,0,42,50,10,20,28,100.0,90.6,1.3510474653794378,33.86810882796838,2.90625
bypass2,emna,regret,0.5,1,43,50,10,20,23,100.0,89.5,0.9858546401472383,32.419938124957945,2.1875
bypass2,emna,regret,0.5,2,44,50,10,20,25,100.0,99.4,1.3252714253374926,34.987822860712505,2.640625
bypass2,emna,regret,0.5,3,45,50,10,20,57,95.0,81.8,2.3354002364781454,11.076144275878566,5.9375
bypass2,emna,regret,0.5,4,46,50,10,20,60,80.0,44.1,1.0070388176078726,8.043285675043835,6.109375
bypass2,emna,regret,0.5,5,47,50,10,20,38,100.0,95.7,1.2366269847586662,34.98278079619235,3.859375
bypass2,emna,regret,0.5,6,48,50,10,20,43,100.0,97.7,1.4472052615328284,34.98101890061712,4.578125
bypass2,emna,regret,0.5,7,49,50,10,20,26,100.0,92.5,1.4538942439607316,34.88910842876933,2.515625
bypass2,emna,regret,0.5,8,50,50,10,20,24,100.0,95.8,1.290684045338474,32.65783248426445,2.671875
bypass2,emna,regret,0.5,9,51,50,10,20,27,100.0,87.8,1.1873951946483128,34.9899532882576,2.796875
bypass2,emna,binary,0.0,0,42,50,0,20,44,100.0,97.5,0.49336031353475984,2.875071564112602,4.375
bypass2,emna,binary,0.0,1,43,50,0,20,60,95.0,95.0,1.0314340819481953,16.102867075418207,6.140625
bypass2,emna,binary,0.0,2,44,50,0,20,60,95.0,93.0,1.6744812078863154,8.467522352653804,6.140625
bypass2,emna,binary,0.0,3,45,50,0,20,60,100.0,94.2,1.5475724766762529,8.89990076618081,6.03125
bypass2,emna,binary,0.0,4,46,50,0,20,60,100.0,92.3,0.9547905656797568,15.656225314542825,6.078125
