network,optimizer,pct,stop_mode,rep,seed,generation,acc_best,acc_mean,acc_worst,sat_acc_mean,n_satisfiers,pop_size,pct_satisfiers,best_fitness
bypass,umda,5,top10,3,45,29,85.0,65.5,45.0,65.5,50,50,100.0,0.0
bypass,umda,5,top10,3,45,30,85.0,64.2,25.0,65.0,49,50,98.0,0.0
bypass,umda,5,top10,3,45,31,80.0,65.6,40.0,65.6,50,50,100.0,0.0
bypass,umda,5,top10,3,45,32,85.0,65.6,45.0,65.6,50,50,100.0,0.0
bypass,umda,5,top10,3,45,33,85.0,65.4,45.0,65.4,50,50,100.0,0.0
bypass,umda,5,top10,3,45,34,75.0,62.0,45.0,62.0,50,50,100.0,0.0
bypass,umda,5,top10,3,45,35,85.0,64.8,45.0,64.8,50,50,100.0,0.0
bypass,umda,5,top10,3,45,36,75.0,62.2,45.0,62.2,50,50,100.0,0.0
bypass,umda,5,top10,3,45,37,75.0,60.0,35.0,60.0,50,50,100.0,0.0
bypass,umda,5,top10,3,45,38,75.0,61.2,35.0,61.2,50,50,100.0,0.0
bypass,umda,5,top10,3,45,39,85.0,57.8,35.0,57.8,50,50,100.0,0.0
bypass,umda,5,top10,3,45,40,75.0,61.4,45.0,61.4,50,50,100.0,0.0
bypass,umda,5,top10,3,45,41,80.0,59.3,35.0,59.3,50,50,100.0,0.0
bypass,umda,5,top10,3,45,42,80.0,57.0,35.0,57.0,50,50,100.0,0.0
bypass,umda,5,top10,3,45,43,75.0,58.5,40.0,58.5,50,50,100.0,0.0
bypass,umda,5,top10,3,45,44,70.0,55.4,35.0,55.4,50,50,100.0,0.0
bypass,umda,5,top10,3,45,45,75.0,51.2,35.0,51.2,50,50,100.0,0.0
bypass,umda,5,top10,3,45,46,75.0,56.5,25.0,56.5,50,50,100.0,0.0
bypass,umda,5,top10,3,45,47,70.0,54.7,35.0,54.7,50,50,100.0,0.0
bypass,umda,5,top10,3,45,48,75.0,55.4,35.0,55.4,50,50,100.0,0.0
bypass,umda,5,top10,3,45,49,75.0,55.5,35.0,55.5,50,50,100.0,0.0
bypass,umda,5,top10,3,45,50,75.0,56.1,35.0,56.1,50,50,100.0,0.0
bypass,umda,5,top10,4,46,1,80.0,51.2,25.0,55.625,24,50,48.0,0.0
bypass,umda,5,top10,4,46,2,85.0,52.2,15.0,55.0,32,50,64.0,0.0
bypass,umda,5,top10,4,46,3,80.0,50.0,15.0,52.66666666666666,30,50,60.0,0.0
bypass,umda,5,top10,4,46,4,85.0,53.3,25.0,55.0,42,50,84.0,0.0
bypass,umda,5,top10,4,46,5,85.0,52.7,15.0,55.11627906976744,43,50,86.0,0.0
bypass,umda,5,top10,4,46,6,85.0,54.2,35.0,55.21739130434783,46,50,92.0,0.0
bypass,umda,5,top10,4,46,7,85.0,53.4,25.0,54.77777777777778,45,50,90.0,0.0
bypass,umda,5,top10,4,46,8,75.0,58.2,25.0,59.54545454545455,44,50,88.0,0.0
bypass,umda,5,top10,4,46,9,75.0,56.4,35.0,57.11111111111112,45,50,90.0,0.0
bypass,umda,5,top10,4,46,10,90.0,59.0,35.0,60.11363636363637,44,50,88.0,0.0
bypass,umda,5,top10,4,46,11,95.0,58.0,35.0,58.93617021276596,47,50,94.0,0.0
bypass,umda,5,top10,4,46,12,95.0,61.9,30.0,61.9,50,50,100.0,0.0
bypass,umda,5,top10,4,46,13,90.0,60.3,25.0,60.71428571428572,49,50,98.0,0.0
bypass,umda,5,top10,4,46,14,85.0,62.1,35.0,62.1,50,50,100.0,0.0
bypass,umda,5,top10,4,46,15,85.0,56.5,30.0,56.83673469387755,49,50,98.0,0.0
bypass,umda,5,top10,4,46,16,80.0,56.3,30.0,56.734693877551024,49,50,98.0,0.0
bypass,umda,5,top10,4,46,17,80.0,55.7,35.0,55.7,50,50,100.0,0.0
bypass,umda,5,top10,4,46,18,85.0,59.1,35.0,59.1,50,50,100.0,0.0
bypass,umda,5,top10,4,46,19,80.0,58.1,45.0,58.1,50,50,100.0,0.0
bypass,umda,5,top10,4,46,20,85.0,59.4,45.0,59.4,50,50,100.0,0.0
bypass,umda,5,top10,4,46,21,75.0,57.7,35.0,58.16326530612245,49,50,98.0,0.0
bypass,umda,5,top10,4,46,22,85.0,61.5,35.0,61.5,50,50,100.0,0.0
bypass,umda,5,top10,4,46,23,85.0,61.1,45.0,61.1,50,50,100.0,0.0
bypass,umda,5,top10,4,46,24,75.0,57.2,30.0,57.2,50,50,100.0,0.0
bypass,umda,5,top10,4,46,25,75.0,56.4,35.0,56.4,50,50,100.0,0.0
bypass,umda,5,top10,4,46,26,75.0,55.6,35.0,55.6,50,50,100.0,0.0
