network,optimizer,mode,pct,n_decision_rules,total_rules,stop_mode,rep,seed,pop_size,n_satisfiers,frac_satisfiers,sat_acc_mean,sat_acc_std,sat_acc_best,sat_acc_worst,pop_acc_mean,pop_acc_best,pop_acc_worst,best_fitness,stop_generation,cpu_total
bypass,umda,both,30,6,20,top30,3,45,50,50,1.0,69.0,6.633249580710798,75.0,55.00000000000001,69.0,75.0,55.00000000000001,0.0,50,2.21875
bypass,umda,both,30,6,20,top30,4,46,50,50,1.0,74.2,7.236021006050217,95.0,60.0,74.2,95.0,60.0,0.0,50,2.25
bypass,umda,both,30,6,20,top30,5,47,50,50,1.0,73.2,4.331281565541543,85.0,65.0,73.2,85.0,65.0,0.0,50,2.171875
bypass,umda,both,30,6,20,top30,6,48,50,50,1.0,84.6,1.9595917942265424,85.0,75.0,84.6,85.0,75.0,0.0,50,2.1875
bypass,umda,both,30,6,20,top30,7,49,50,50,1.0,76.1,3.645545226711637,85.0,65.0,76.1,85.0,65.0,0.0,50,2.265625
bypass,umda,both,30,6,20,top30,8,50,50,49,0.98,78.06122448979592,5.4225837777903765,95.0,75.0,78.3,95.0,75.0,0.0,50,2.1875
bypass,umda,both,30,6,20,top30,9,51,50,0,0.0,,,,,56.8,70.0,45.0,1.0,100,4.390625
bypass,umda,both,30,6,20,top50,0,42,50,48,0.96,71.875,7.403898184965358,80.0,55.00000000000001,71.4,80.0,55.00000000000001,0.0,50,2.21875
bypass,umda,both,30,6,20,top50,1,43,50,50,1.0,73.6,7.418894796396563,85.0,55.00000000000001,73.6,85.0,55.00000000000001,0.0,50,2.3125
bypass,umda,both,30,6,20,top50,2,44,50,50,1.0,72.0,7.54983443527075,95.0,55.00000000000001,72.0,95.0,55.00000000000001,0.0,50,2.1875
bypass,umda,both,30,6,20,top50,3,45,50,50,1.0,69.0,6.633249580710798,75.0,55.00000000000001,69.0,75.0,55.00000000000001,0.0,50,2.1875
