mode,sampling_mode,chance_temperature,utility_temperature,fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,generation,mean_fitness,mean_accuracy,mean_error_chance,mean_error_utility,mean_entropy_norm,mean_util_dev
both,non_symmetric,1.0,1.0,softmax,top50,4,20,15,3.006930,59.90,1.724173,16.441148,4.686755,35.959100
both,non_symmetric,1.0,1.0,softmax,top50,4,20,16,2.968498,60.44,1.784667,16.141367,4.169840,35.960401
both,non_symmetric,1.0,1.0,softmax,top50,4,20,17,3.162431,61.04,1.866314,16.757191,3.945159,36.616902
both,non_symmetric,1.0,1.0,softmax,top50,4,20,18,2.975979,62.60,1.802325,17.527621,3.678752,36.401528
both,non_symmetric,1.0,1.0,softmax,top50,4,20,19,2.175026,63.62,1.797512,17.662466,3.461293,36.821216
both,non_symmetric,1.0,1.0,softmax,top50,4,20,20,2.388501,63.14,1.789276,17.627667,3.493059,36.526370
both,non_symmetric,1.0,1.0,softmax,top50,4,20,21,2.268565,64.38,1.768974,17.259073,3.259390,36.281802
both,non_symmetric,1.0,1.0,softmax,top50,4,20,22,2.199105,64.60,1.803297,17.444865,3.311386,36.668085
both,non_symmetric,1.0,1.0,softmax,top50,4,20,23,2.261867,63.80,1.807120,17.617329,3.253335,36.790853
both,non_symmetric,1.0,1.0,softmax,top50,4,20,24,2.216148,63.88,1.843077,17.534255,3.194458,36.850758
both,non_symmetric,1.0,1.0,softmax,top50,4,20,25,2.354025,63.78,1.799743,17.562836,3.184762,36.839603
both,non_symmetric,1.0,1.0,softmax,top50,4,20,26,2.264480,63.54,1.809777,17.623008,3.195062,36.956434
both,non_symmetric,1.0,1.0,softmax,top50,4,20,27,2.219174,63.54,1.800287,17.636225,3.156533,36.839416
both,non_symmetric,1.0,1.0,softmax,top50,4,20,28,2.336443,63.36,1.809766,17.543289,3.074834,36.852429
both,non_symmetric,1.0,1.0,softmax,top50,4,20,29,2.268351,63.34,1.803550,17.620787,3.030009,36.716274
both,non_symmetric,1.0,1.0,softmax,top50,8,40,1,11.461413,51.34,1.510391,18.699708,11.663199,36.743727
both,non_symmetric,1.0,1.0,softmax,top50,8,40,2,10.081570,51.46,1.449614,15.821263,13.077491,32.667859
both,non_symmetric,1.0,1.0,softmax,top50,8,40,3,8.455803,52.60,1.486588,15.652343,13.357272,31.122972
both,non_symmetric,1.0,1.0,softmax,top50,8,40,4,8.564583,54.26,1.485369,15.477743,12.850421,31.012562
both,non_symmetric,1.0,1.0,softmax,top50,8,40,5,8.262927,55.78,1.539422,15.369119,12.020153,31.372680
both,non_symmetric,1.0,1.0,softmax,top50,8,40,6,7.895003,57.36,1.557425,15.703212,11.190350,31.565469
both,non_symmetric,1.0,1.0,softmax,top50,8,40,7,7.546116,57.10,1.600749,15.985113,10.670870,32.479641
both,non_symmetric,1.0,1.0,softmax,top50,8,40,8,6.877250,57.52,1.608730,16.347345,9.919934,32.207100
both,non_symmetric,1.0,1.0,softmax,top50,8,40,9,7.854078,58.34,1.651423,17.054695,9.215729,32.995522
both,non_symmetric,1.0,1.0,softmax,top50,8,40,10,7.068317,59.18,1.684456,16.841603,8.517138,33.532241
both,non_symmetric,1.0,1.0,softmax,top50,8,40,11,7.823047,58.50,1.740668,16.739443,7.711121,34.368335
both,non_symmetric,1.0,1.0,softmax,top50,8,40,12,8.806210,58.92,1.650121,16.893022,7.194231,34.205459
both,non_symmetric,1.0,1.0,softmax,top50,8,40,13,7.774845,60.02,1.688573,17.750205,6.679694,34.230778
both,non_symmetric,1.0,1.0,softmax,top50,8,40,14,7.433919,60.62,1.711320,17.194757,6.121488,35.173986
both,non_symmetric,1.0,1.0,softmax,top50,8,40,15,7.763677,61.42,1.689015,17.333421,5.622816,34.056761
both,non_symmetric,1.0,1.0,softmax,top50,8,40,16,7.797122,62.28,1.752324,17.579418,5.176385,34.835584
both,non_symmetric,1.0,1.0,softmax,top50,8,40,17,7.986699,61.90,1.852760,19.109713,4.415880,35.071028
