fitness_type,stop_mode,n_decision_rules,n_decision_rules_pct,stop_gen_mean,stop_gen_std,stop_gen_min,stop_gen_max,generation,mean_fitness,mean_accuracy,mean_error,fitness_std,accuracy_std
binary,top30,6,30,,,,,6,2.012,58.25,,0.261641,3.92
binary,top30,6,30,,,,,7,1.686,59.31,,0.193763,3.35
binary,top30,6,30,,,,,8,1.436,61.94,,0.266578,3.88
binary,top30,6,30,,,,,9,1.23,63.22,,0.180222,3.28
binary,top30,6,30,,,,,10,1.152,63.8,,0.111964,2.93
binary,top30,8,40,,,,,1,4.042,49.81,,0.150519,1.26
binary,top30,8,40,,,,,2,3.728,51.74,,0.14552,2.12
binary,top30,8,40,,,,,3,3.608,52.07,,0.132272,1.51
binary,top30,8,40,,,,,4,3.364,53.36,,0.314045,3.38
binary,top30,8,40,,,,,5,3.046,54.94,,0.243934,2.77
binary,top30,8,40,,,,,6,2.818,56.75,,0.315049,4.11
binary,top30,8,40,,,,,7,2.562,57.9,,0.529165,6.19
binary,top30,8,40,,,,,8,2.234,60.6,,0.41673,5.76
binary,top30,8,40,,,,,9,1.948,61.93,,0.242355,5.07
binary,top30,8,40,,,,,10,1.712,63.32,,0.167619,4.91
binary,top30,8,40,,,,,11,1.534,63.92,,0.171767,4.89
binary,top30,8,40,,,,,12,1.254,66.23,,0.195816,6.28
binary,top70,1,5,,,,,1,0.496,48.42,,0.04128,0.7
binary,top70,1,5,,,,,2,0.476,49.32,,0.044989,1.55
binary,top70,1,5,,,,,3,0.378,51.25,,0.060465,1.32
binary,top70,1,5,,,,,4,0.316,51.46,,0.028705,1.37
binary,top70,1,5,,,,,5,0.282,51.59,,0.027129,2.05
binary,top70,2,10,,,,,1,1.02,50.2,,0.090995,1.1
binary,top70,2,10,,,,,2,0.962,51.44,,0.093894,1.39
binary,top70,2,10,,,,,3,0.84,50.38,,0.11225,1.27
binary,top70,2,10,,,,,4,0.778,51.48,,0.086116,0.87
binary,top70,2,10,,,,,5,0.642,52.27,,0.153284,1.4
binary,top70,2,10,,,,,6,0.588,52.86,,0.168095,2.31
binary,top70,2,10,,,,,7,0.456,55.44,,0.084758,1.7
binary,top70,2,10,,,,,8,0.458,54.15,,0.129368,2.3
binary,top70,2,10,,,,,9,0.346,55.24,,0.08309,1.75
binary,top70,2,10,,,,,10,0.332,55.19,,0.067052,1.81
binary,top70,2,10,,,,,11,0.314,56.01,,0.06086,1.54
binary,top70,4,20,,,,,1,1.964,50.87,,0.044989,1.05
binary,top70,4,20,,,,,2,1.926,51.14,,0.107443,1.52
binary,top70,4,20,,,,,3,1.768,51.33,,0.098061,1.07
binary,top70,4,20,,,,,4,1.648,53.44,,0.116859,1.48
binary,top70,4,20,,,,,5,1.436,54.68,,0.222405,2.2
binary,top70,4,20,,,,,6,1.268,56.38,,0.177358,3.24
binary,top70,4,20,,,,,7,1.104,57.83,,0.174539,2.15
binary,top70,4,20,,,,,8,0.978,59.3,,0.211887,2.9
binary,top70,4,20,,,,,9,0.858,59.63,,0.263165,2.35
binary,top70,4,20,,,,,10,0.656,61.68,,0.17951,2.68
binary,top70,4,20,,,,,11,0.522,62.71,,0.17837,2.86
binary,top70,4,20,,,,,12,0.472,63.15,,0.16179,2.94
binary,top70,4,20,,,,,13,0.452,63.39,,0.184868,2.97
binary,top70,4,20,,,,,14,0.444,63.58,,0.169423,2.7
binary,top70,4,20,,,,,15,0.392,64.43,,0.07494,2.01
binary,top70,4,20,,,,,16,0.394,64.03,,0.078128,2.2
binary,top70,4,20,,,,,17,0.374,63.6,,0.051614,2.68
binary,top70,4,20,,,,,18,0.36,64.36,,0.046476,2.02
binary,top70,6,30,,,,,1,3.088,49.47,,0.141053,1.19
binary,top70,6,30,,,,,2,2.898,50.58,,0.049153,1.05
binary,top70,6,30,,,,,3,2.692,52.03,,0.156256,2.12
binary,top70,6,30,,,,,4,2.528,51.82,,0.073865,1.8
binary,top70,6,30,,,,,5,2.28,54.12,,0.264953,3.26
binary,top70,6,30,,,,,6,1.972,57.4,,0.29383,2.76
binary,top70,6,30,,,,,7,1.808,57.74,,0.216093,3.3
binary,top70,6,30,,,,,8,1.488,61.01,,0.246771,5.28
binary,top70,6,30,,,,,9,1.352,60.81,,0.451194,6.14
binary,top70,6,30,,,,,10,1.002,62.4,,0.361076,5.42
binary,top70,6,30,,,,,11,0.806,63.96,,0.279542,4.71
binary,top70,6,30,,,,,12,0.688,65.0,,0.303934,4.6
binary,top70,6,30,,,,,13,0.526,66.5,,0.184239,4.75
binary,top70,6,30,,,,,14,0.456,67.3,,0.119264,4.23
binary,top70,6,30,,,,,15,0.394,67.07,,0.079649,4.58
binary,top70,6,30,,,,,16,0.328,68.05,,0.097447,3.57
binary,top70,8,40,,,,,1,4.092,49.28,,0.198937,1.21
binary,top70,8,40,,,,,2,3.76,51.17,,0.167212,1.38
binary,top70,8,40,,,,,3,3.654,52.2,,0.166205,1.35
binary,top70,8,40,,,,,4,3.422,53.13,,0.366791,2.91
binary,top70,8,40,,,,,5,2.986,55.15,,0.239466,1.94
binary,top70,8,40,,,,,6,2.77,57.73,,0.354119,2.78
binary,top70,8,40,,,,,7,2.518,58.87,,0.364494,3.29
binary,top70,8,40,,,,,8,2.22,60.99,,0.430674,3.49
binary,top70,8,40,,,,,9,1.75,64.26,,0.22441,3.45
binary,top70,8,40,,,,,10,1.524,65.22,,0.337556,4.4
binary,top70,8,40,,,,,11,1.17,67.59,,0.192562,3.55
binary,top70,8,40,,,,,12,0.876,69.0,,0.16378,4.22
binary,top70,8,40,,,,,13,0.766,69.25,,0.194895,5.06
binary,top70,8,40,,,,,14,0.638,69.93,,0.251984,4.65
binary,top70,8,40,,,,,15,0.474,70.46,,0.123709,4.72
